.artifacts/analysis-2025/01-SCAN-RESULTS.md → .cursor/ai-driven-workflow/ | reference | References .cursor/ai-driven-workflow/
.artifacts/protocol-reformat/03-project-brief-creation/03-project-brief-creation.md → scripts/run_protocol_03_gates.py | call | Executes scripts/run_protocol_03_gates.py
.artifacts/protocol-reformat/03-project-brief-creation/03-project-brief-creation.md → scripts/validate_brief_structure.py | call | Executes scripts/validate_brief_structure.py
.artifacts/protocol-reformat/03-project-brief-creation/03-project-brief-creation.md → scripts/validate_discovery_inputs.py | call | Executes scripts/validate_discovery_inputs.py
.artifacts/protocol-reformat/03-project-brief-creation/03-project-brief-creation.md → scripts/validate_prerequisites_03.py | call | Executes scripts/validate_prerequisites_03.py
.artifacts/protocol-reformat/03-project-brief-creation/03-project-brief-creation.md → scripts/verify_brief_approvals.py | call | Executes scripts/verify_brief_approvals.py
.artifacts/protocol-reformat/03-project-brief-creation/ORIGINAL-BACKUP.md → .cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md | reference | References .cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md
.artifacts/protocol-reformat/03-project-brief-creation/ORIGINAL-BACKUP.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/03-project-brief-creation/ORIGINAL-BACKUP.md → ai-driven-workflow/04-project-bootstrap-and-context-engineering.md | reference | References ai-driven-workflow/04-project-bootstrap-and-context-engineering.md
.artifacts/protocol-reformat/03-project-brief-creation/ORIGINAL-BACKUP.md → scripts/aggregate_evidence_01.py | call | Executes scripts/aggregate_evidence_01.py
.artifacts/protocol-reformat/03-project-brief-creation/ORIGINAL-BACKUP.md → scripts/run_protocol_01_gates.py | call | Executes scripts/run_protocol_01_gates.py
.artifacts/protocol-reformat/03-project-brief-creation/ORIGINAL-BACKUP.md → scripts/validate_brief_structure.py | call | Executes scripts/validate_brief_structure.py
.artifacts/protocol-reformat/03-project-brief-creation/ORIGINAL-BACKUP.md → scripts/validate_discovery_inputs.py | call | Executes scripts/validate_discovery_inputs.py
.artifacts/protocol-reformat/03-project-brief-creation/ORIGINAL-BACKUP.md → scripts/validate_prerequisites_01.py | call | Executes scripts/validate_prerequisites_01.py
.artifacts/protocol-reformat/03-project-brief-creation/ORIGINAL-BACKUP.md → scripts/verify_brief_approvals.py | call | Executes scripts/verify_brief_approvals.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED-PART2.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED-PART2.md → scripts/aggregate_evidence_01.py | call | Executes scripts/aggregate_evidence_01.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED-PART2.md → scripts/run_protocol_01_gates.py | call | Executes scripts/run_protocol_01_gates.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED-PART2.md → scripts/validate_brief_structure.py | call | Executes scripts/validate_brief_structure.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED-PART2.md → scripts/validate_discovery_inputs.py | call | Executes scripts/validate_discovery_inputs.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED-PART2.md → scripts/validate_prerequisites_01.py | call | Executes scripts/validate_prerequisites_01.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED-PART2.md → scripts/verify_brief_approvals.py | call | Executes scripts/verify_brief_approvals.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED-PART3.md → .cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md | reference | References .cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED-PART3.md → ai-driven-workflow/04-project-bootstrap-and-context-engineering.md | reference | References ai-driven-workflow/04-project-bootstrap-and-context-engineering.md
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED.md → .cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md | reference | References .cursor/ai-driven-workflow/04-project-bootstrap-and-context-engineering.md
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED.md → ai-driven-workflow/04-project-bootstrap-and-context-engineering.md | reference | References ai-driven-workflow/04-project-bootstrap-and-context-engineering.md
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED.md → scripts/aggregate_evidence_01.py | call | Executes scripts/aggregate_evidence_01.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED.md → scripts/run_protocol_01_gates.py | call | Executes scripts/run_protocol_01_gates.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED.md → scripts/validate_brief_structure.py | call | Executes scripts/validate_brief_structure.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED.md → scripts/validate_discovery_inputs.py | call | Executes scripts/validate_discovery_inputs.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED.md → scripts/validate_prerequisites_01.py | call | Executes scripts/validate_prerequisites_01.py
.artifacts/protocol-reformat/03-project-brief-creation/REFORMATTED.md → scripts/verify_brief_approvals.py | call | Executes scripts/verify_brief_approvals.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → .cursor/ai-driven-workflow/05-bootstrap-your-project.md | reference | References .cursor/ai-driven-workflow/05-bootstrap-your-project.md
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → .cursor/context-kit/governance-status.md | reference | References .cursor/context-kit/governance-status.md
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → .cursor/rules/ | reference | References .cursor/rules/
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → ai-driven-workflow/05-bootstrap-your-project.md | reference | References ai-driven-workflow/05-bootstrap-your-project.md
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → scripts/aggregate_evidence_04.py | call | Executes scripts/aggregate_evidence_04.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → scripts/doctor.py | call | Executes scripts/doctor.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → scripts/evidence_manager.py | call | Executes scripts/evidence_manager.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → scripts/generate_from_brief.py | call | Executes scripts/generate_from_brief.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → scripts/normalize_project_rules.py | call | Executes scripts/normalize_project_rules.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → scripts/rules_audit_quick.py | call | Executes scripts/rules_audit_quick.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → scripts/run_protocol_04_gates.py | call | Executes scripts/run_protocol_04_gates.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → scripts/validate_brief.py | call | Executes scripts/validate_brief.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → scripts/validate_prerequisites_04.py | call | Executes scripts/validate_prerequisites_04.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → scripts/validate_scaffold.py | call | Executes scripts/validate_scaffold.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/04-project-bootstrap-and-context-engineering.md → scripts/validate_workflows.py | call | Executes scripts/validate_workflows.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → .cursor/ai-driven-workflow/05-bootstrap-your-project.md | reference | References .cursor/ai-driven-workflow/05-bootstrap-your-project.md
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → .cursor/context-kit/governance-status.md | reference | References .cursor/context-kit/governance-status.md
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → .cursor/rules/ | reference | References .cursor/rules/
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → ai-driven-workflow/05-bootstrap-your-project.md | reference | References ai-driven-workflow/05-bootstrap-your-project.md
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → scripts/aggregate_evidence_00.py | call | Executes scripts/aggregate_evidence_00.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → scripts/doctor.py | call | Executes scripts/doctor.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → scripts/evidence_manager.py | call | Executes scripts/evidence_manager.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → scripts/generate_from_brief.py | call | Executes scripts/generate_from_brief.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → scripts/normalize_project_rules.py | call | Executes scripts/normalize_project_rules.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → scripts/rules_audit_quick.py | call | Executes scripts/rules_audit_quick.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → scripts/run_protocol_00_gates.py | call | Executes scripts/run_protocol_00_gates.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → scripts/validate_brief.py | call | Executes scripts/validate_brief.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → scripts/validate_prerequisites_00.py | call | Executes scripts/validate_prerequisites_00.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → scripts/validate_scaffold.py | call | Executes scripts/validate_scaffold.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/ORIGINAL-BACKUP.md → scripts/validate_workflows.py | call | Executes scripts/validate_workflows.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART1.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART1.md → .cursor/context-kit/governance-status.md | reference | References .cursor/context-kit/governance-status.md
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART1.md → .cursor/rules/ | reference | References .cursor/rules/
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART1.md → scripts/doctor.py | call | Executes scripts/doctor.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART1.md → scripts/evidence_manager.py | call | Executes scripts/evidence_manager.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART1.md → scripts/generate_from_brief.py | call | Executes scripts/generate_from_brief.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART1.md → scripts/normalize_project_rules.py | call | Executes scripts/normalize_project_rules.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART1.md → scripts/rules_audit_quick.py | call | Executes scripts/rules_audit_quick.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART1.md → scripts/validate_brief.py | call | Executes scripts/validate_brief.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART1.md → scripts/validate_scaffold.py | call | Executes scripts/validate_scaffold.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART1.md → scripts/validate_workflows.py | call | Executes scripts/validate_workflows.py
.artifacts/protocol-reformat/04-project-bootstrap-and-context-engineering/REFORMATTED-PART2.md → .cursor/context-kit/ | reference | References .cursor/context-kit/
